,category1,category2,table
2,01_沪深股票数据库,99_FileSync配置表,FileSyncTimeSchedule(FileSync调度计划)
4,01_沪深股票数据库,中国A股交易数据,AShareBlockTrade(中国A股大宗交易数据)
5,01_沪深股票数据库,中国A股交易数据,AShareFloatHolder(中国A股流通股东)
6,01_沪深股票数据库,中国A股交易数据,AShareHolderNumber(中国A股股东户数)
7,01_沪深股票数据库,中国A股交易数据,AShareInsideHolder(中国A股内部人持股变动(中国A股前十大股东))
8,01_沪深股票数据库,中国A股交易数据,AShareInsiderTrade(中国A股内部人交易)
9,01_沪深股票数据库,中国A股交易数据,AShareL2Indicators(中国A股Level2指标)
10,01_沪深股票数据库,中国A股交易数据,AShareMajorHolderPlanHold(中国A股大股东增持计划)
11,01_沪深股票数据库,中国A股交易数据,AShareMarginShortFeeRate(A股融资融券费率)
12,01_沪深股票数据库,中国A股交易数据,AShareMarginSubject(中国A股融资融券标的及担保物)
13,01_沪深股票数据库,中国A股交易数据,AShareMarginTrade(中国A股融资融券交易明细)
14,01_沪深股票数据库,中国A股交易数据,AShareMarginTradeSum(中国A股融资融券交易汇总)
15,01_沪深股票数据库,中国A股交易数据,AShareMjrHolderTrade(中国A股重要股东增减持)
16,01_沪深股票数据库,中国A股交易数据,AShareMoneyFlow(中国A股资金流向数据)
17,01_沪深股票数据库,中国A股交易数据,AShareStrangeTrade(中国A股证券交易异动营业部买卖信息)
18,01_沪深股票数据库,中国A股交易数据,AShareStrangeTradedetail(中国A股交易异动)
19,01_沪深股票数据库,中国A股交易数据,AShareinstHolderDerData(中国A股机构持股衍生数据)
21,01_沪深股票数据库,中国A股公司治理,AShareEsopDescription(A股公司员工持股计划基本资料)
22,01_沪深股票数据库,中国A股公司治理,AShareEsopTradingInfo(A股公司员工持股计划股票买卖情况)
23,01_沪深股票数据库,中国A股公司治理,AShareIncDescription(中国A股股权激励基本资料)
24,01_沪深股票数据库,中国A股公司治理,AShareIncExecQtyPri(中国A股股权激励行权数量与价格)
25,01_沪深股票数据库,中国A股公司治理,AShareIncExercisePct(中国A股股权激励行权比例)
26,01_沪深股票数据库,中国A股公司治理,AShareIncQuantityDetails(中国A股股权激励数量明细)
27,01_沪深股票数据库,中国A股公司治理,AShareIncQuantityPrice(中国A股股权激励数量与价格)
28,01_沪深股票数据库,中国A股公司治理,AShareManagement(中国A股公司管理层成员)
29,01_沪深股票数据库,中国A股公司治理,AShareManagementHoldReward(中国A股公司管理层持股及报酬)
30,01_沪深股票数据库,中国A股公司治理,AShareStaff(A股员工人数变更)
31,01_沪深股票数据库,中国A股公司治理,AShareStaffStructure(A股员工构成)
33,01_沪深股票数据库,中国A股基础信息,AShareConseption(中国A股Wind概念板块)
34,01_沪深股票数据库,中国A股基础信息,AShareDescription(中国A股基本资料)
35,01_沪深股票数据库,中国A股基础信息,AShareIndustriesClass(中国A股Wind行业分类)
36,01_沪深股票数据库,中国A股基础信息,AShareIndustriesClassCITICS(中国A股中信行业分类)
37,01_沪深股票数据库,中国A股基础信息,AShareIntroduction(中国A股公司简介)
38,01_沪深股票数据库,中国A股基础信息,AShareOwnership(中国A股企业所有制板块)
39,01_沪深股票数据库,中国A股基础信息,ASharePreviousENName(中国A股证券曾用英文名)
40,01_沪深股票数据库,中国A股基础信息,ASharePreviousName(中国A股证券曾用名)
41,01_沪深股票数据库,中国A股基础信息,AShareRegional(中国A股企业地域板块)
42,01_沪深股票数据库,中国A股基础信息,AShareSECIndustriesClass(中国A股证监会行业分类)
43,01_沪深股票数据库,中国A股基础信息,AShareSECNIndustriesClass(中国A股证监会新版行业分类)
44,01_沪深股票数据库,中国A股基础信息,CompanyPreviousName(中国A股公司曾用名)
45,01_沪深股票数据库,中国A股基础信息,SHSCMembers(沪股通成分股)
47,01_沪深股票数据库,中国A股并购重组专项库,AShareEquityTransfer(中国A股股权转让(已废弃))
48,01_沪深股票数据库,中国A股并购重组专项库,AShareMergersAcquisitions(中国A股收购兼并（已废弃）)
49,01_沪深股票数据库,中国A股并购重组专项库,AShareStockSwap(中国A股股票置换)
50,01_沪深股票数据库,中国A股并购重组专项库,AshareRestructuringEvents(中国A股重大重组事件)
51,01_沪深股票数据库,中国A股并购重组专项库,MergerAgency(并购事件中介机构)
52,01_沪深股票数据库,中国A股并购重组专项库,MergerEvent(并购事件)
53,01_沪深股票数据库,中国A股并购重组专项库,MergerIntelligence(前瞻性情报)
54,01_沪深股票数据库,中国A股并购重组专项库,MergerParticipant(并购事件参与方)
55,01_沪深股票数据库,中国A股并购重组专项库,RelatedEvent(关联事件)
57,01_沪深股票数据库,中国A股指数,AIndexAlternativeMembers(指数备选成分股名单)
58,01_沪深股票数据库,中国A股指数,AIndexDescription(中国A股指数基本资料)
59,01_沪深股票数据库,中国A股指数,AIndexEODPrices(中国A股指数日行情)
60,01_沪深股票数据库,中国A股指数,AIndexHS300FreeWeight(沪深300免费指数权重)
61,01_沪深股票数据库,中国A股指数,AIndexIndustriesEODCITICS(中国A股中信行业指数日行情)
62,01_沪深股票数据库,中国A股指数,AIndexMembers(中国A股指数成份股)
63,01_沪深股票数据库,中国A股指数,AIndexMembersCITICS(中国A股中信指数成份股)
64,01_沪深股票数据库,中国A股指数,AIndexMembersCITICS2(中国A股中信指数成份股二级)
65,01_沪深股票数据库,中国A股指数,AIndexMembersCITICS3(中国A股中信指数成份股三级)
66,01_沪深股票数据库,中国A股指数,AIndexMembersWIND(中国A股万得指数成份股)
67,01_沪深股票数据库,中国A股指数,AIndexWindIndustriesEOD(中国A股Wind行业指数日行情)
68,01_沪深股票数据库,中国A股指数,AShareCSIndustriesClass(中国A股中证行业成分明细)
69,01_沪深股票数据库,中国A股指数,ChinaEFTPchRedmList(中国ETF申购赎回清单(不建议使用))
70,01_沪深股票数据库,中国A股指数,ChinaEFTPchRedmMembers(中国ETF申购赎回成份(不推荐使用))
71,01_沪深股票数据库,中国A股指数,ChinaETFPchRedmList(中国ETF申购赎回清单)
72,01_沪深股票数据库,中国A股指数,ChinaETFPchRedmMembers(中国ETF申购赎回成份)
74,01_沪深股票数据库,中国A股日行情数据,AShareCalendar(中国A股交易日历)
75,01_沪深股票数据库,中国A股日行情数据,AShareEODPrices(中国A股日行情)
76,01_沪深股票数据库,中国A股日行情数据,AShareTradingSuspension(中国A股停复牌信息)
78,01_沪深股票数据库,中国A股日行情衍生数据,AShareEODDerivativeIndicator(中国A股日行情估值指标)
79,01_沪深股票数据库,中国A股日行情衍生数据,AShareMonthlyYield(中国A股月收益率)
80,01_沪深股票数据库,中国A股日行情衍生数据,AShareTechIndicators(A股技术指标)
81,01_沪深股票数据库,中国A股日行情衍生数据,AShareWeeklyYield(中国A股周收益率)
82,01_沪深股票数据库,中国A股日行情衍生数据,AShareYield(A股收益率)
84,01_沪深股票数据库,中国A股机构调研,AShareISParticipant(中国A股机构调研参与主体)
85,01_沪深股票数据库,中国A股机构调研,AShareISQA(中国A股机构调研问答明细)
86,01_沪深股票数据库,中国A股机构调研,AshareISActivity(中国A股机构调研活动)
